Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Price(euro),Age,km_year
Renault,Scenic,2005,Universal,209948.0,1500.0,Diesel,3699.0,17,12349.882352941177
Porsche,Rare,2012,Hatchback,120000.0,3000.0,Diesel,34500.0,10,12000.0
Audi,A6,2009,Universal,186000.0,2800.0,Petrol,10500.0,13,14307.692307692309
Toyota,Avensis,2008,Sedan,178000.0,2000.0,Petrol,7190.0,14,12714.285714285714
Honda,Civic,2011,Sedan,188000.0,1300.0,Hybrid,7000.0,11,17090.909090909092
Renault,Laguna,2005,Sedan,200000.0,1598.0,Petrol,3000.0,17,11764.70588235294
Skoda,Octavia,2016,Sedan,121000.0,2000.0,Diesel,14200.0,6,20166.666666666668
Nissan,Qashqai,2011,Crossover,232000.0,1500.0,Diesel,6400.0,11,21090.90909090909
Volkswagen,Jetta,2013,Sedan,212000.0,1400.0,Hybrid,8500.0,9,23555.555555555555
Skoda,Superb,2020,Sedan,50000.0,2000.0,Petrol,38000.0,2,25000.0
Mazda,Rare,2008,Crossover,166000.0,2198.0,Diesel,7200.0,14,11857.142857142857
Volkswagen,Golf,2003,Universal,296000.0,1900.0,Diesel,3650.0,19,15578.947368421052
Opel,Vectra,1995,Sedan,111122.0,1600.0,Petrol,1300.0,27,4115.62962962963
Volvo,Rare,2007,Sedan,31500.0,2400.0,Diesel,3300.0,15,2100.0
Dacia,Duster,2017,SUV,49000.0,1461.0,Diesel,10600.0,5,9800.0
Ford,Mondeo,1993,Universal,323909.0,1597.0,Petrol,700.0,29,11169.275862068966
Skoda,Fabia,2015,Hatchback,139898.0,1400.0,Diesel,8499.0,7,19985.42857142857
Toyota,Auris,2007,Hatchback,180000.0,1400.0,Diesel,5999.0,15,12000.0
Ford,Kuga,2018,Crossover,149000.0,1500.0,Diesel,14950.0,4,37250.0
Mitsubishi,Lancer,2007,Sedan,220000.0,2000.0,Metan/Propan,6500.0,15,14666.666666666666
Toyota,Auris,2011,Hatchback,163000.0,1800.0,Metan/Propan,7800.0,11,14818.181818181818
Toyota,Rav 4,2003,SUV,271000.0,2000.0,Petrol,6900.0,19,14263.157894736842
Skoda,Octavia,2018,Universal,102700.0,1400.0,Metan/Propan,13999.0,4,25675.0
Mercedes,Vito,2004,Minivan,393000.0,2151.0,Diesel,5000.0,18,21833.33333333333
Opel,Astra,2007,Hatchback,186088.0,1600.0,Metan/Propan,2600.0,15,12405.866666666669
Volvo,Rare,2012,Sedan,150000.0,1596.0,Petrol,10000.0,10,15000.0
Volkswagen,Sharan,1999,Minivan,300000.0,1900.0,Diesel,1700.0,23,13043.478260869566
Volvo,XC60,2015,Crossover,180000.0,2400.0,Diesel,20900.0,7,25714.285714285717
Opel,Vectra,2005,Universal,280000.0,1800.0,Metan/Propan,3750.0,17,16470.58823529412
Skoda,Octavia,2019,Universal,15100.0,1600.0,Petrol,15700.0,3,5033.333333333333
Opel,Astra,1992,Universal,280000.0,1700.0,Diesel,650.0,30,9333.333333333334
Opel,Vectra,2004,Sedan,335000.0,1800.0,Metan/Propan,4000.0,18,18611.11111111111
Volkswagen,Rare,1999,Universal,300000.0,1900.0,Diesel,1750.0,23,13043.478260869566
Volkswagen,Passat,2005,Universal,258000.0,1900.0,Diesel,5190.0,17,15176.470588235294
Dacia,Logan,2008,Sedan,285000.0,1500.0,Diesel,3200.0,14,20357.14285714286
Toyota,Rav 4,2008,Crossover,235000.0,2200.0,Diesel,6500.0,14,16785.714285714286
Chrysler,Rare,2003,Minivan,357000.0,2500.0,Diesel,4500.0,19,18789.473684210527
Toyota,Avensis,2007,Combi,245000.0,2000.0,Diesel,7500.0,15,16333.333333333334
Dacia,Logan,2005,Universal,10000.0,1400.0,Metan/Propan,2000.0,17,588.2352941176471
Hyundai,Rare,2020,Minivan,13600.0,2500.0,Diesel,35500.0,2,6800.0
Audi,A4,2008,Sedan,147473.0,1800.0,Petrol,9799.0,14,10533.785714285714
Chevrolet,Rare,2007,Universal,150000.0,1800.0,Metan/Propan,3200.0,15,10000.0
Audi,Q5,2013,SUV,196500.0,1984.0,Petrol,14999.0,9,21833.33333333333
Skoda,Fabia,2017,Hatchback,30610.0,999.0,Petrol,8500.0,5,6122.0
Honda,Accord,2000,Hatchback,250000.0,2000.0,Diesel,2300.0,22,11363.636363636364
Toyota,Camry,2018,Sedan,51000.0,2500.0,Hybrid,22300.0,4,12750.0
Audi,80,1995,Sedan,300000.0,2000.0,Petrol,1300.0,27,11111.111111111111
Honda,Accord,2009,Sedan,166500.0,1997.0,Petrol,8600.0,13,12807.692307692309
Nissan,Qashqai,2011,Crossover,174615.0,1500.0,Diesel,9299.0,11,15874.09090909091
Mercedes,E Class,2004,Sedan,302450.0,2200.0,Diesel,3250.0,18,16802.777777777777
Mercedes,E Class,2001,Sedan,350000.0,2198.0,Diesel,4300.0,21,16666.666666666668
BMW,X5,2004,Crossover,145340.0,3000.0,Diesel,12999.0,18,8074.444444444444
BMW,X6,2015,Crossover,205000.0,3000.0,Diesel,41999.0,7,29285.714285714286
Mercedes,M Class,2000,SUV,450000.0,2700.0,Diesel,7500.0,22,20454.545454545456
Renault,Grand Scenic,2011,Universal,197000.0,1500.0,Diesel,6000.0,11,17909.090909090908
Nissan,Qashqai,2016,Crossover,144300.0,1500.0,Diesel,10750.0,6,24050.0
Dacia,Sandero,2010,Hatchback,129000.0,1400.0,Petrol,3950.0,12,10750.0
Volkswagen,Caddy,2009,Minivan,200000.0,1900.0,Diesel,4700.0,13,15384.615384615385
Opel,Corsa,2008,Hatchback,125000.0,1400.0,Petrol,2650.0,14,8928.57142857143
Ford,Rare,2004,Minivan,246341.0,1800.0,Metan/Propan,3999.0,18,13685.611111111111
Renault,Megane,2004,Universal,200200.0,1500.0,Diesel,3450.0,18,11122.222222222224
BMW,X5,2016,Crossover,138000.0,1998.0,Plug-in Hybrid,33900.0,6,23000.0
Opel,Astra,2007,Hatchback,182000.0,1365.0,Petrol,4500.0,15,12133.333333333334
Hyundai,Santa FE,2008,Crossover,199680.0,2200.0,Diesel,7700.0,14,14262.857142857143
Toyota,Prius,2015,Hatchback,110029.0,1800.0,Hybrid,11999.0,7,15718.42857142857
Renault,Scenic,2012,Microvan,161000.0,1500.0,Diesel,7800.0,10,16100.0
Renault,Megane,2015,Hatchback,186000.0,1500.0,Diesel,6750.0,7,26571.42857142857
Mitsubishi,Lancer,2008,Sedan,217772.0,1500.0,Metan/Propan,7299.0,14,15555.142857142857
Volvo,Rare,2002,Sedan,18000.0,2400.0,Diesel,1900.0,20,900.0
BMW,5 Series,1997,Sedan,286000.0,2800.0,Petrol,3499.0,25,11440.0
Nissan,Qashqai,2017,Crossover,125000.0,1500.0,Diesel,16199.0,5,25000.0
Mercedes,M Class,2012,SUV,228000.0,2200.0,Diesel,30000.0,10,22800.0
